id;login;password_hash;first_name;last_name;email;activated;lang_key;created_by;created_date;last_modified_by
19;knowaczek;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Kamil;Nowaczek;knowaczek@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
20;mkow;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Maciej;Kow;mkow@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
21;anow;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Adam;Now;anow@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
22;mkowal;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Mariusz;Kowal;mkowal@email;true;pl;system;1970-01-01 00:00:00;system
23;zuser;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Zdzisław;User;zuser@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
24;tuser;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Tomasz;User;tuser@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
25;muser;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Michał;User;muser@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
26;puser;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Piotr;User;puser@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
27;mnazw;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Magdalena;Nazw;mnazw@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
28;mnazwa;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Monika;Nazwa;mnazwa@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
29;planner2;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Planner2;Planner2;planner2@localhost;true;pl;admin;1970-01-01 00:00:00;admin
30;bgolebiowska;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Bożena;Gołębiowska;goleb@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
31;dtwardak;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Diana;Twardak;email1@email;true;pl;system;1970-01-01 00:00:00;system
32;wsmolinski;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Wojciech;Smoliński;email2@email;true;pl;system;1970-01-01 00:00:00;system
33;jczerny;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Jerzy;Czerny;jczerny@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
34;mdumanskaslowik;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Magdalena;Dumańska-Słowik;dumanska@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
35;tszydlak;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Tadeusz;Szydłak;szydlak@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
36;gziemniak;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Grzegorz;Ziemniak;email3@email;true;pl;system;1970-01-01 00:00:00;system
37;tbajda;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Tomasz;Bajda;bajda@geol.agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
38;grzepa;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Grzegorz;Rzepa;grzesio@geol.agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
39;jmatusik;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Jakub;Matusik;jmatusik@geol.agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
40;tpowolny;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Tomasz;Powolny;email4@email;true;pl;system;1970-01-01 00:00:00;system
41;apieczka;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Adam;Pieczka;pieczka@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
42;szelek;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Sylwia;Zelek;zelek@geol.agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
43;kdudek;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Krzysztof;Dudek;kadudek@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
44;pstach;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Paweł;Stach;email5@email;true;pl;system;1970-01-01 00:00:00;system
45;mmroczkowski;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;M;Mroczkowski;email6@email;true;pl;system;1970-01-01 00:00:00;system
46;mmanecki;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Maciej;Manecki;gpmmanec@cyf-kr.edu.pl;true;pl;system;1970-01-01 00:00:00;system
47;matsek;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Mateusz;Sęk;email7@email;true;pl;system;1970-01-01 00:00:00;system
48;ewalus;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Edyta;Waluś;email8@email;true;pl;system;1970-01-01 00:00:00;system
49;msek;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Magdalena;Sęk;email9@email;true;pl;system;1970-01-01 00:00:00;system
50;kgorniak;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Katarzyna;Górniak;gorniak@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
51;mmichalek;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;Mieczysław;Michałek;michalek@agh.edu.pl;true;pl;system;1970-01-01 00:00:00;system
